method,id,file,dataset,fitness,dice,jaccard,acc
otsu,0,101,yg,0.9681834998150204,0.8908178027401923,0.8031302746662575,0.9782453879544222
otsu,0,102,yg,0.9748771163298744,0.9257498487336848,0.861763759253299,0.9854347531199131
otsu,0,103,yg,0.9656344410876133,0.8999560052793665,0.818109102543593,0.9807209712425393
otsu,0,104,yg,0.911005575056783,0.8099871488892969,0.6806541190990435,0.9649009766684753
otsu,0,105,yg,0.9421869227927595,0.8822206848841231,0.7892619526535665,0.9769058600108519
otsu,0,106,yg,0.9440775897647544,0.8726752503576538,0.7741116751269036,0.9773636733586544
otsu,0,107,yg,0.9490648627138878,0.7579850627681551,0.6102865916069601,0.9741759359739555
otsu,0,108,yg,0.9370629370629371,0.831141054432681,0.7110704483074108,0.9732263971785133
otsu,0,109,yg,0.9589006555723651,0.8494527585436676,0.7383032420889147,0.9771432447097125
otsu,0,110,yg,0.931013431013431,0.7710782454809758,0.6274429129808682,0.9692925935973955
otsu,0,111,yg,0.8106560986349626,0.5653308767081222,0.3940496575342466,0.9519974226804123
otsu,0,112,yg,0.9034017138405609,0.7707133362871068,0.626959812578843,0.9649009766684753
otsu,0,113,yg,0.921793037672866,0.8036586633406091,0.671763683753258,0.9679700217037439
otsu,0,114,yg,0.9238440616500453,0.7387626872885452,0.5857443954780609,0.9633410200759631
otsu,0,115,yg,0.8620919387075283,0.7352272727272727,0.5813117699910153,0.9683939229517091
otsu,0,116,yg,0.9010799136069114,0.6024548736462094,0.43108080181855757,0.953319994574064
otsu,0,117,yg,0.9244621141253508,0.7994741632116493,0.6659366576819407,0.9663761530113945
otsu,0,118,yg,0.9571844877830082,0.8391470963938292,0.7228711697985442,0.9722429462832338
otsu,0,119,yg,0.9462345447733234,0.8825019655805014,0.789712320200125,0.9771941128594682
otsu,0,120,yg,0.9156287665729208,0.6884156471832049,0.5248733302625518,0.9650196690179056
otsu,0,121,yg,0.9497270245677889,0.8511722731906218,0.7409050576752441,0.975244167118828
otsu,0,122,yg,0.9,0.8167164179104478,0.6902119071644803,0.9739724633749322
otsu,0,123,yg,0.9649669131957961,0.7267663441805922,0.5708035919871057,0.9683939229517091
otsu,0,124,yg,0.9596971177332682,0.8677120141342756,0.7663350887458553,0.9796866521975041
otsu,0,125,yg,0.9000780640124902,0.6829557233822005,0.5185518326961996,0.9636970971242539
otsu,0,126,yg,0.9442815249266863,0.807477487746495,0.6771171860064997,0.9713612316874661
otsu,0,127,yg,0.8564954682779456,0.7172675521821632,0.5591715976331361,0.9621032284319045
otsu,0,128,yg,0.8823938761308281,0.7574671445639187,0.6096153846153847,0.9586950623982637
otsu,0,129,yg,0.9332686711930165,0.8636567633067049,0.7600315955766193,0.9742437601736299
otsu,0,130,yg,0.8809974747474747,0.723244363824825,0.5664704688451391,0.963781877373847
otsu,0,201,bs,0.6875863127205769,0.4571282836011222,0.29628405183813805,0.940848561646881
otsu,0,202,bs,0.7243519029233315,0.46761917478969156,0.305158591843848,0.9414411326962243
otsu,0,203,bs,0.6943222710915634,0.47598163503049407,0.3123201438848921,0.9388053968406396
otsu,0,204,bs,0.7475079160314296,0.5458360094198245,0.3753606972498675,0.950818379932304
otsu,0,205,bs,0.8483547925608012,0.6500609013398295,0.4815483172426238,0.9605533244087461
otsu,0,206,bs,0.729979035639413,0.5881094471343317,0.41654039397081105,0.9540290554466395
otsu,0,207,bs,0.7242353519223682,0.5592601375385345,0.38817565343340577,0.9495296750086896
otsu,0,208,bs,0.7602408061772019,0.44148046815625475,0.28326912761496076,0.9426056668020368
otsu,0,209,bs,0.5923221595309216,0.3315683542344016,0.19873055937047623,0.9304168157481635
otsu,0,210,bs,0.8247650635710337,0.43158808215215505,0.27517521209885654,0.9379529200018946
otsu,0,211,bs,0.7456362425049967,0.5167128347183749,0.3483565737051793,0.9465154302064174
otsu,0,212,bs,0.6636060100166945,0.4219931879506348,0.2674216516230308,0.9382393950135886
otsu,0,213,bs,0.7764578833693304,0.6538675289243672,0.4857378771956163,0.958314572558564
otsu,0,214,bs,0.7612543554006969,0.5742824098412365,0.4028023598820059,0.9515310397663339
otsu,0,215,bs,0.8191997611227232,0.5356306130417805,0.36577561495900274,0.949635793842375
otsu,0,216,bs,0.8365906623235614,0.5870755750273823,0.41550387596899224,0.9577346019614342
otsu,0,217,bs,0.6554818092428711,0.4641225360080066,0.30218721668177695,0.9418610140685487
otsu,0,218,bs,0.8160254897333019,0.6238159675236806,0.4532940019665683,0.9556760204081632
otsu,0,219,bs,0.6729696218226906,0.47067750677506776,0.30776864190530195,0.9405885179980411
otsu,0,220,bs,0.7675992192582953,0.5296996363309837,0.3602662758031025,0.9479104507299996
otsu,0,221,bs,0.626996007984032,0.40868433891689704,0.25682166581502297,0.9354589629235173
otsu,0,222,bs,0.7753189273626659,0.4812929292929293,0.31690965201660104,0.9458421922986062
otsu,0,223,bs,0.8644228169775615,0.6081498739955304,0.4369363213992894,0.9563052745434879
otsu,0,224,bs,0.8749675071484273,0.6073071718538565,0.43606684803731055,0.958242200989985
otsu,0,225,bs,0.8291701359977797,0.5147755664685104,0.3465978305006091,0.9473275660509703
otsu,0,226,bs,0.6137985725614592,0.3572445094042079,0.21746663544837275,0.9331292517006803
otsu,0,227,bs,0.6876701143168209,0.3959565881753712,0.24684904738641916,0.9397980381743776
otsu,0,228,bs,0.7858711093891256,0.4570205415148898,0.2961935358255452,0.942497514416385
otsu,0,229,bs,0.7293168059959643,0.35617499032133176,0.2166745171926519,0.9331640482279868
otsu,0,230,bs,0.6904239343883563,0.33536260345069435,0.20146285560199542,0.9303316532080199
otsu,0,231,bs,0.7574519594492359,0.5209699240295557,0.35223754573599775,0.9502399896220703
otsu,0,232,bs,0.8326530612244898,0.5998174997465274,0.42838522809558294,0.9612735478806907
otsu,0,233,bs,0.6698905573937388,0.5330902830523064,0.3634104245771488,0.9470145780300985
otsu,0,234,bs,0.6522598172388244,0.5059386973180077,0.33863315809719197,0.9382367908995659
